Date,Price,Open,High,Low,Vol.,Change %
"Sep 13, 2022","1,396.53","1,393.27","1,397.67","1,390.76",47.16K,0.41%
"Sep 12, 2022","1,390.85","1,391.10","1,405.83","1,387.19",74.32K,0.07%
"Sep 11, 2022","1,389.86","1,391.10","1,393.45","1,388.34",3.59K,0.34%
"Sep 09, 2022","1,385.15","1,384.53","1,391.57","1,382.31",95.06K,0.09%
"Sep 08, 2022","1,383.86","1,377.45","1,386.80","1,374.32",107.13K,0.49%
"Sep 07, 2022","1,377.11","1,365.28","1,378.97","1,363.28",105.62K,0.98%
"Sep 06, 2022","1,363.71","1,360.84","1,372.55","1,359.44",119.71K,0.32%
"Sep 05, 2022","1,359.39","1,355.69","1,364.00","1,349.01",92.34K,0.36%
"Sep 02, 2022","1,354.48","1,349.40","1,365.85","1,346.37",97.92K,0.46%
"Sep 01, 2022","1,348.23","1,349.67","1,361.58","1,342.17",109.36K,-0.04%
"Aug 31, 2022","1,348.83","1,352.37","1,356.55","1,339.18",104.67K,-0.19%
"Aug 30, 2022","1,351.39","1,345.58","1,356.17","1,344.95",117.46K,0.48%
"Aug 29, 2022","1,344.95","1,339.96","1,352.50","1,333.39",90.92K,0.63%
"Aug 26, 2022","1,336.58","1,331.69","1,341.87","1,325.24",76.34K,0.47%
"Aug 25, 2022","1,330.28","1,336.56","1,340.15","1,329.28",113.47K,-0.42%
"Aug 24, 2022","1,335.91","1,335.38","1,339.17","1,329.54",94.35K,0.09%
"Aug 23, 2022","1,334.75","1,336.00","1,340.66","1,329.10",105.65K,-0.06%
"Aug 22, 2022","1,335.50","1,341.21","1,347.44","1,333.51",114.18K,-0.35%
"Aug 19, 2022","1,340.15","1,339.18","1,345.78","1,334.71",95.59K,0.12%
"Aug 18, 2022","1,338.52","1,339.13","1,348.47","1,336.88",102.57K,0.00%
"Aug 17, 2022","1,338.55","1,333.95","1,342.59","1,330.35",119.79K,0.39%
"Aug 16, 2022","1,333.33","1,333.26","1,336.94","1,327.75",94.38K,0.14%
"Aug 15, 2022","1,331.49","1,336.57","1,341.50","1,331.67",82.08K,-0.25%
"Aug 12, 2022","1,334.88","1,346.74","1,349.93","1,334.53",107.78K,-0.86%
"Aug 11, 2022","1,346.51","1,336.26","1,348.24","1,335.26",109.72K,0.80%
"Aug 10, 2022","1,335.86","1,335.63","1,357.47","1,333.16",92.27K,0.16%
"Aug 09, 2022","1,333.70","1,325.85","1,338.70","1,324.41",103.84K,0.70%
"Aug 08, 2022","1,324.43","1,326.96","1,333.03","1,324.10",98.74K,-0.10%
"Aug 05, 2022","1,325.81","1,335.08","1,336.45","1,316.26",110.53K,-0.64%
"Aug 04, 2022","1,334.37","1,329.91","1,337.42","1,327.74",105.92K,0.39%
"Aug 03, 2022","1,329.14","1,334.84","1,339.23","1,327.43",102.14K,-0.33%
"Aug 02, 2022","1,333.60","1,342.14","1,346.43","1,330.36",129.75K,-0.59%
"Aug 01, 2022","1,341.45","1,331.69","1,343.38","1,330.00",111.57K,0.76%
"Jul 29, 2022","1,331.37","1,321.73","1,336.37","1,320.26",106.39K,0.82%
"Jul 28, 2022","1,320.60","1,333.02","1,335.91","1,317.72",132.90K,-0.89%
"Jul 27, 2022","1,332.46","1,326.31","1,339.04","1,325.14",103.11K,0.56%
